benchmark,answer
fermat-931960058139995587.cnf.bz2,UNKNOWN
full-bf-ga-6-ce.cnf.bz2,UNSAT
full-bf-ga-7-ce.cnf.bz2,SAT-VERIFIED
full-bf-ga-9-ce.cnf.bz2,SAT-VERIFIED
full-bg-gb-6-ce.cnf.bz2,UNKNOWN
full-bg-gb-7-ce.cnf.bz2,SAT-VERIFIED
full-bg-gb-8-ce.cnf.bz2,SAT-VERIFIED
full-bg-gb-9-ce.cnf.bz2,SAT-VERIFIED
grain-53-80-0s0-seed-125-4-init-35.cnf.bz2,UNSAT
grain-53-80-0s0-seed-125-8-init-35.cnf.bz2,UNSAT
grain-55-80-0s0-seed-125-45-init-40.cnf.bz2,UNSAT
iffyInterleavedModMult-8.smt2.cnf.bz2,UNSAT
lang23.cnf.gz.CP3-cnfmiter.cnf.bz2,UNSAT
lang28.cnf.gz.CP3-cnfmiter.cnf.bz2,UNSAT
ls15-normalized.cnf.gz.CP3-cnfmiter.cnf.bz2,UNSAT
ls16-normalized.cnf.gz.CP3-cnfmiter.cnf.bz2,UNSAT
mulhs16.smt2.cnf.bz2,UNKNOWN
ncc_none_12477_5_3_3_0_0_435991723.cnf.bz2,UNSAT
ncc_none_12477_5_3_3_1_0_435991723.cnf.bz2,SAT-VERIFIED
ncc_none_21015_5_3_3_0_0_11.cnf.bz2,UNSAT
ncc_none_21015_5_3_3_1_0_11.cnf.bz2,SAT-VERIFIED
ncc_none_2_17_4_3_0_0_435991723.cnf.bz2,UNSAT
ncc_none_2_18_8_3_1_0_435991723.cnf.bz2,SAT-VERIFIED
ncc_none_2_18_9_3_0_0_435991723.cnf.bz2,UNSAT
ncc_none_2_19_5_3_1_0_435991723.cnf.bz2,SAT-VERIFIED
ncc_none_3001_7_3_3_1_31_435991723.cnf.bz2,SAT-VERIFIED
ncc_none_3047_7_3_3_1_0_1.cnf.bz2,SAT-VERIFIED
ncc_none_3_16_3_3_0_0_435991723.cnf.bz2,UNSAT
ncc_none_5047_6_3_3_0_0_41.cnf.bz2,UNSAT
ncc_none_5047_6_3_3_3_0_435991723.cnf.bz2,SAT-VERIFIED
ncc_none_7047_6_3_3_0_0_420.cnf.bz2,UNSAT
newpol29-4.cnf.bz2,UNSAT
newpol34-4.cnf.bz2,UNSAT
newpol36-4.cnf.bz2,UNSAT
newpol4-6.cnf.bz2,UNSAT
newpol6-6.cnf.bz2,UNSAT
newpol6-7.cnf.bz2,UNSAT
newpol6-8.cnf.bz2,UNKNOWN
newpol7-6.cnf.bz2,UNSAT
preimage_80r_490m_160h_seed_150.cnf.bz2,SAT-VERIFIED
preimage_80r_490m_160h_seed_6.cnf.bz2,SAT-VERIFIED
preimage_80r_491m_160h_seed_391.cnf.bz2,SAT-VERIFIED
preimage_80r_491m_160h_seed_407.cnf.bz2,SAT-VERIFIED
preimage_80r_491m_160h_seed_7.cnf.bz2,SAT-VERIFIED
preimage_80r_491m_160h_seed_71.cnf.bz2,SAT-VERIFIED
preimage_80r_492m_160h_seed_136.cnf.bz2,SAT-VERIFIED
preimage_80r_493m_160h_seed_249.cnf.bz2,SAT-VERIFIED
preimage_80r_493m_160h_seed_457.cnf.bz2,SAT-VERIFIED
preimage_80r_494m_160h_seed_378.cnf.bz2,SAT-VERIFIED
preimage_80r_495m_160h_seed_379.cnf.bz2,SAT-VERIFIED
problem_19.smt2.cnf.bz2,UNSAT
problem_21.smt2.cnf.bz2,UNKNOWN
problem_23.smt2.cnf.bz2,UNSAT
ps_200_300_70.cnf.bz2,UNSAT
ps_200_301_70.cnf.bz2,UNSAT
ps_200_305_70.cnf.bz2,UNSAT
ps_200_306_70.cnf.bz2,UNSAT
ps_200_316_70.cnf.bz2,UNSAT
ps_200_317_70.cnf.bz2,UNSAT
ps_200_323_70.cnf.bz2,UNSAT
ps_300_301_30.cnf.bz2,SAT-VERIFIED
ps_300_311_20.cnf.bz2,SAT-VERIFIED
ps_300_312_20.cnf.bz2,SAT-VERIFIED
ps_300_314_20.cnf.bz2,SAT-VERIFIED
ps_300_322_20.cnf.bz2,SAT-VERIFIED
schur-triples-7-60.cnf.bz2,SAT-VERIFIED
schur-triples-7-90.cnf.bz2,SAT-VERIFIED
size_4_5_5_i000_w31_r9.cnf.bz2,UNSAT
size_4_5_5_i003_w31_r9.cnf.bz2,UNSAT
size_4_5_5_i028_w31_r9.cnf.bz2,UNSAT
size_4_5_5_i031_w31_r9.cnf.bz2,UNSAT
size_4_5_5_i032_w31_r9.cnf.bz2,UNSAT
size_4_5_5_i035_w31_r9.cnf.bz2,UNSAT
size_4_5_5_i037_w31_r9.cnf.bz2,UNSAT
size_5_5_5_i019_r12.cnf.bz2,SAT-VERIFIED
size_5_5_5_i041_r12.cnf.bz2,SAT-VERIFIED
size_5_5_5_i053_r12.cnf.bz2,SAT-VERIFIED
size_5_5_5_i058_r12.cnf.bz2,SAT-VERIFIED
size_5_5_5_i059_r12.cnf.bz2,SAT-VERIFIED
size_5_5_5_i092_r12.cnf.bz2,SAT-VERIFIED
size_5_5_5_i131_r12.cnf.bz2,SAT-VERIFIED
ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1564286498.cnf.bz2,UNKNOWN
ssAES_4-4-8_round_7-10_faultAt_8_fault_injections_2_seed_1579630418.cnf.bz2,SAT-VERIFIED
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf.bz2,SAT-VERIFIED
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf.bz2,SAT-VERIFIED
ssp-0.046166496845693274.cnf.bz2,SAT-VERIFIED
ssp-0.497665446947731.cnf.bz2,SAT-VERIFIED
sted1_0x0-649.cnf.bz2,SAT-VERIFIED
sted1_0x0_n438-636.cnf.bz2,SAT-VERIFIED
sted2_0x0_n219-342.cnf.bz2,SAT-VERIFIED
sted3_0x1e3-147.cnf.bz2,SAT-VERIFIED
sted4_0x1e3-124.cnf.bz2,SAT-VERIFIED
sted5_0x0-157.cnf.bz2,SAT-VERIFIED
sted6_0x0-135.cnf.bz2,SAT-VERIFIED
uum12.smt2.cnf.bz2,UNSAT
vlsat2_15440_1409906.dimacs.cnf.bz2,UNKNOWN
vlsat2_15960_1464039.dimacs.cnf.bz2,UNKNOWN
vlsat2_16676_1598591.dimacs.cnf.bz2,SAT-VERIFIED
vlsat2_21114_2240429.dimacs.cnf.bz2,UNKNOWN
vlsat2_24450_2770239.dimacs.cnf.bz2,SAT-VERIFIED
vlsat2_30195_3855554.dimacs.cnf.bz2,UNKNOWN
vlsat2_30744_3925645.dimacs.cnf.bz2,SAT-VERIFIED
vlsat2_32480_4362044.dimacs.cnf.bz2,UNKNOWN
vlsat2_34161_4607712.dimacs.cnf.bz2,SAT-VERIFIED
vlsat2_35929_5082743.dimacs.cnf.bz2,UNKNOWN
vlsat2_37758_5364539.dimacs.cnf.bz2,SAT-VERIFIED
vlsat2_39552_5878762.dimacs.cnf.bz2,UNKNOWN
vlsat2_40170_5970608.dimacs.cnf.bz2,SAT-VERIFIED
vlsat2_57038_10572502.dimacs.cnf.bz2,SAT-VERIFIED
w15.cnf.bz2,UNSAT
w16-5.cnf.bz2,UNKNOWN
w16-6a.cnf.bz2,UNKNOWN
w19-2.0.cnf.bz2,UNSAT
w19-20.0.cnf.bz2,UNSAT
w19-20.1.cnf.bz2,UNSAT
w19-49.0.cnf.bz2,UNSAT
w19-5.1.cnf.bz2,UNSAT
w19-8.0.cnf.bz2,UNSAT
